,,unit
Activity,Research and development (73),EUR
Activity,Other business activities (74),EUR
Activity,Public administration and defence; compulsory social security (75),EUR
Activity,Education (80),EUR
Activity,Health and social work (85),EUR
Activity,Incineration of waste: Food,EUR
Activity,Incineration of waste: Paper,EUR
Activity,Incineration of waste: Plastic,EUR
Activity,Incineration of waste: Metals and Inert materials,EUR
Activity,Incineration of waste: Textiles,EUR
Activity,Incineration of waste: Wood,EUR
Activity,Incineration of waste: Oil/Hazardous waste,EUR
Activity,"Biogasification of food waste, incl. land application",EUR
Activity,"Biogasification of paper, incl. land application",EUR
Activity,"Biogasification of sewage slugde, incl. land application",EUR
Activity,"Composting of food waste, incl. land application",EUR
Activity,"Composting of paper and wood, incl. land application",EUR
Activity,"Waste water treatment, food",EUR
Activity,"Waste water treatment, other",EUR
Activity,Landfill of waste: Food,EUR
Activity,Landfill of waste: Paper,EUR
Activity,Landfill of waste: Plastic,EUR
Activity,Landfill of waste: Inert/metal/hazardous,EUR
Activity,Landfill of waste: Textiles,EUR
Activity,Landfill of waste: Wood,EUR
Activity,Activities of membership organisation n.e.c. (91),EUR
Activity,"Recreational, cultural and sporting activities (92)",EUR
Activity,Other service activities (93),EUR
Activity,Private households with employed persons (95),EUR
Activity,Extra-territorial organizations and bodies,EUR
Commodity,Paddy rice,EUR
Commodity,Wheat,EUR
Commodity,Cereal grains nec,EUR
Commodity,"Vegetables, fruit, nuts",EUR
Commodity,Oil seeds,EUR
Commodity,"Sugar cane, sugar beet",EUR
Commodity,Plant-based fibers,EUR
Commodity,Crops nec,EUR
Commodity,Cattle,EUR
Commodity,Pigs,EUR
Commodity,Poultry,EUR
Commodity,Meat animals nec,EUR
Commodity,Animal products nec,EUR
Commodity,Raw milk,EUR
Commodity,"Wool, silk-worm cocoons",EUR
Commodity,Manure (conventional treatment),EUR
Commodity,Manure (biogas treatment),EUR
Commodity,"Products of forestry, logging and related services (02)",EUR
Commodity,Fish and other fishing products; services incidental of fishing (05),EUR
Commodity,Anthracite,EUR
Commodity,Coking Coal,EUR
Commodity,Other Bituminous Coal,EUR
Commodity,Sub-Bituminous Coal,EUR
Commodity,Patent Fuel,EUR
Commodity,Lignite/Brown Coal,EUR
Commodity,BKB/Peat Briquettes,EUR
Commodity,Peat,EUR
Commodity,"Crude petroleum and services related to crude oil extraction, excluding surveying",EUR
Commodity,"Natural gas and services related to natural gas extraction, excluding surveying",EUR
Commodity,Natural Gas Liquids,EUR
Commodity,Other Hydrocarbons,EUR
Commodity,Uranium and thorium ores (12),EUR
Commodity,Iron ores,EUR
Commodity,Copper ores and concentrates,EUR
Commodity,Nickel ores and concentrates,EUR
Commodity,Aluminium ores and concentrates,EUR
Commodity,Precious metal ores and concentrates,EUR
Commodity,"Lead, zinc and tin ores and concentrates",EUR
Commodity,Other non-ferrous metal ores and concentrates,EUR
Commodity,Stone,EUR
Commodity,Sand and clay,EUR
Commodity,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",EUR
Commodity,Products of meat cattle,EUR
Commodity,Products of meat pigs,EUR
Commodity,Products of meat poultry,EUR
Commodity,Meat products nec,EUR
Commodity,products of Vegetable oils and fats,EUR
Commodity,Dairy products,EUR
Commodity,Processed rice,EUR
Commodity,Sugar,EUR
Commodity,Food products nec,EUR
Commodity,Beverages,EUR
Commodity,Fish products,EUR
Commodity,Tobacco products (16),EUR
Commodity,Textiles (17),EUR
Commodity,Wearing apparel; furs (18),EUR
Commodity,Leather and leather products (19),EUR
Commodity,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),EUR
Commodity,"Wood material for treatment, Re-processing of secondary wood material into new wood material",EUR
Commodity,Pulp,EUR
Commodity,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",EUR
Commodity,Paper and paper products,EUR
Commodity,Printed matter and recorded media (22),EUR
Commodity,Coke Oven Coke,EUR
Commodity,Gas Coke,EUR
Commodity,Coal Tar,EUR
Commodity,Motor Gasoline,EUR
Commodity,Aviation Gasoline,EUR
Commodity,Gasoline Type Jet Fuel,EUR
Commodity,Kerosene Type Jet Fuel,EUR
Commodity,Kerosene,EUR
Commodity,Gas/Diesel Oil,EUR
Commodity,Heavy Fuel Oil,EUR
Commodity,Refinery Gas,EUR
Commodity,Liquefied Petroleum Gases (LPG),EUR
Commodity,Refinery Feedstocks,EUR
Commodity,Ethane,EUR
Commodity,Naphtha,EUR
Commodity,White Spirit & SBP,EUR
Commodity,Lubricants,EUR
Commodity,Bitumen,EUR
Commodity,Paraffin Waxes,EUR
Commodity,Petroleum Coke,EUR
Commodity,Non-specified Petroleum Products,EUR
Commodity,Nuclear fuel,EUR
Commodity,"Plastics, basic",EUR
Commodity,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",EUR
Commodity,N-fertiliser,EUR
Commodity,P- and other fertiliser,EUR
Commodity,Chemicals nec,EUR
Commodity,Charcoal,EUR
Commodity,Additives/Blending Components,EUR
Commodity,Biogasoline,EUR
Commodity,Biodiesels,EUR
Commodity,Other Liquid Biofuels,EUR
Commodity,Rubber and plastic products (25),EUR
Commodity,Glass and glass products,EUR
Commodity,"Secondary glass for treatment, Re-processing of secondary glass into new glass",EUR
Commodity,Ceramic goods,EUR
